"TyontekijaID";"Etunimi";"Sukunimi";"Palkka";"Syntymaaika";"Email";"Osasto"
0;"Kake";"Koodaaja";23232.0;"1972-12-23";"kake.koodaaja@koodi.fi";2
2;"Make";"Myyjä";2625.0;"1956-06-16";"make.myyja@gmail.com";2
3;"Maiju";"Myyjä";2625.0;"1960-04-15";"maiju.myyja@hotmail.com";2
4;"Mike";"Markkinoija";3150.0;"1970-06-19";"mike.markkinoija@firma.fi";3
5;"Masa";"Markkina";3150.0;"1967-04-13";"masa.markkina@gmail.com";3
6;"Tiina";"Tuote";2625.0;"1955-05-25";"tiina.tuote@hotmail.com";4
7;"Taisto";"Tähdellinen";2940.0;"1945-11-11";"taisto.tahdellinen@firma.fi";4
8;"Jaana";"Jämäkkä";3412.5;"1969-06-01";"jaana.jamakka@gmail.com";4
9;"Ismo";"Insinööri";2730.0;"1950-06-05";"ismo.insinoori@firma.fi";4
10;"Peke";"Pomo";3412.5;"1970-10-01";"peke.pomo@hotmail.com";5
11;"Taavi";"Tanakka";2100.0;"1975-03-03";"taavi.tanakka@firma.fi";5
12;"Maija";"Mainio";2310.0;"1965-07-06";"maija.mainio@hotmail.com";5
13;"Mikko";"Meikäläinen";2362.5;"1976-03-21";"mikko.meikalainen@firma.fi";5
14;"Satu";"Särmä";2415.0;"1973-03-02";"satu.sarma@gmail.com";5
15;"Heikki";"Häijy";2835.0;"1950-11-11";"heikki.haivy@firma.fi";5
